date,channel,episodeid,clip_url,starttime,endtime,starttime_seconds,endtime_seconds,Social Media Mention,Social Media Platform,CaptionError,CaptionError_Phrase
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:22,098","00:01:23,299",82.098,83.299,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:23,366","00:01:25,835",83.366,85.835,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:25,902","00:01:28,671",85.902,88.671,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:28,738","00:01:28,972",88.738,88.972,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:29,038","00:01:31,207",89.038,91.207,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:31,274","00:01:32,976",91.274,92.976,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:33,042","00:01:35,378",93.042,95.378,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:35,445","00:01:36,646",95.445,96.646,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:36,713","00:01:37,347",96.713,97.347,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:37,413","00:01:38,481",97.413,98.481,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:38,548","00:01:41,317",98.548,101.317,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:41,384","00:01:42,519",101.384,102.519,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:42,585","00:01:44,788",102.585,104.788,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:44,854","00:01:45,054",104.854,105.054,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:45,121","00:01:46,856",105.121,106.856,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:46,923","00:01:49,125",106.923,109.125,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:49,192","00:01:49,425",109.192,109.425,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:49,492","00:01:50,960",109.492,110.96,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:51,027","00:01:52,996",111.027,112.996,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:53,062","00:01:54,597",113.062,114.597,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:54,664","00:01:56,065",114.664,116.065,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:56,132","00:01:58,234",116.132,118.234,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:58,301","00:02:00,470",118.301,120.47,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:00,537","00:02:02,272",120.537,122.272,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:02,338","00:02:05,742",122.338,125.742,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:05,809","00:02:06,142",125.809,126.142,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:06,209","00:02:09,813",126.209,129.813,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:09,879","00:02:10,213",129.879,130.213,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:10,280","00:02:14,717",130.28,134.717,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:14,784","00:02:15,185",134.784,135.185,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:15,251","00:02:15,418",135.251,135.418,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:15,485","00:02:17,954",135.485,137.954,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:18,021","00:02:21,758",138.021,141.758,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:21,825","00:02:21,958",141.825,141.958,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:22,025","00:02:23,326",142.025,143.326,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:23,393","00:02:26,329",143.393,146.329,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:26,396","00:02:30,233",146.396,150.233,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:30,300","00:02:33,536",150.3,153.536,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:33,603","00:02:36,906",153.603,156.906,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:36,973","00:02:37,173",156.973,157.173,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:37,240","00:02:41,177",157.24,161.177,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:41,244","00:02:41,444",161.244,161.444,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:41,511","00:02:43,613",161.511,163.613,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:43,680","00:02:45,815",163.68,165.815,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:45,882","00:02:46,716",165.882,166.716,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:46,783","00:02:47,050",166.783,167.05,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:47,116","00:02:50,987",167.116,170.987,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:51,054","00:02:52,488",171.054,172.488,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:52,555","00:02:55,692",172.555,175.692,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:55,758","00:02:57,327",175.758,177.327,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:57,393","00:02:58,661",177.393,178.661,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/120/end/180,"00:02:58,728","00:03:00,697",178.728,180.697,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:00,763","00:03:01,297",180.763,181.297,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:01,364","00:03:03,800",181.364,183.8,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:03,867","00:03:05,168",183.867,185.168,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:05,235","00:03:08,238",185.235,188.238,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:08,304","00:03:09,839",188.304,189.839,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:09,906","00:03:11,207",189.906,191.207,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:11,274","00:03:14,544",191.274,194.544,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:14,611","00:03:16,279",194.611,196.279,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:16,346","00:03:19,382",196.346,199.382,Yes,Twitter,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:19,449","00:03:20,016",199.449,200.016,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:20,083","00:03:23,353",200.083,203.353,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:23,419","00:03:24,921",203.419,204.921,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:24,988","00:03:27,757",204.988,207.757,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:27,824","00:03:29,325",207.824,209.325,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:29,392","00:03:32,128",209.392,212.128,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:32,195","00:03:34,264",212.195,214.264,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:34,330","00:03:37,500",214.33,217.5,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:37,567","00:03:39,469",217.567,219.469,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:39,535","00:03:39,736",219.535,219.736,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:39,802","00:03:41,170",219.802,221.17,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:41,237","00:03:42,505",221.237,222.505,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:42,572","00:03:44,607",222.572,224.607,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:44,674","00:03:45,108",224.674,225.108,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:45,174","00:03:46,976",225.174,226.976,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:47,043","00:03:48,711",227.043,228.711,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:48,778","00:03:49,746",228.778,229.746,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:49,812","00:03:51,247",229.812,231.247,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:51,314","00:03:54,017",231.314,234.017,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:54,083","00:03:55,218",234.083,235.218,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:55,285","00:03:57,453",235.285,237.453,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:57,520","00:03:57,787",237.52,237.787,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/180/end/240,"00:03:57,854","00:04:00,690",237.854,240.69,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:00,757","00:04:02,592",240.757,242.592,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:02,659","00:04:04,861",242.659,244.861,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:04,928","00:04:06,296",244.928,246.296,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:06,362","00:04:09,832",246.362,249.832,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:09,899","00:04:11,668",249.899,251.668,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:11,734","00:04:14,370",251.734,254.37,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:14,437","00:04:17,740",254.437,257.74,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:17,807","00:04:20,743",257.807,260.743,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:20,810","00:04:22,312",260.81,262.312,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:22,378","00:04:23,813",262.378,263.813,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:23,880","00:04:24,681",263.88,264.681,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:24,747","00:04:27,650",264.747,267.65,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:27,717","00:04:31,120",267.717,271.12,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:31,187","00:04:31,654",271.187,271.654,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:31,721","00:04:35,625",271.721,275.625,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:35,692","00:04:38,194",275.692,278.194,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:38,261","00:04:39,963",278.261,279.963,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/240/end/300,"00:04:40,029","00:04:42,699",280.029,282.699,No,-,No,-
